subjid1,block,rep,respnr,line,rad,var,pred,new_block,correct,resp_time,new_rho_bias,rho,theta_resp,theta,rho_resp,rep_number,new_theta_resp,new_theta_bias,x,y,x_resp,y_resp
1.0,10.0,11.0,73.0,3.0,0.7,0.06,0.0,0.0,0.0,1.297077,-0.5635,4.8143,0.4552,0.444,4.2508,12.0,0.4552,0.011199999999999988,0.6919275008103779,0.32913352034848403,0.6076462975831708,0.2974335373524267
1.0,10.0,12.0,74.0,3.0,0.7,0.06,0.0,0.0,1.0,1.874784,0.0501,4.0377,0.9516,0.9955,4.0878,12.0,0.9516,-0.04390000000000005,0.34963885453533783,0.5391781012907285,0.37759207280422286,0.5298077275490453
1.0,11.0,1.0,75.0,14.0,0.0,0.01,0.0,1.0,1.0,1.532676,0.422,0.1777,-1.0199,-0.052,0.5997,9.0,-1.0199,-0.9679,0.028243604963992835,-0.00146999265040965,0.0499609107430898,-0.08132464139933379
1.0,11.0,2.0,76.0,14.0,0.0,0.01,0.0,0.0,1.0,1.819361,0.3012,0.2531,-2.2723,-0.1154,0.5543,9.0,0.8692926535897931,0.9846926535897931,0.04001419193445754,-0.00463824547097581,-0.05693401163742397,-0.06738852638728582
1.0,11.0,3.0,77.0,14.0,0.0,0.01,0.0,0.0,0.0,2.240034,0.0379,-0.0383,1.8623,-0.1297,0.0762,9.0,-1.279292653589793,-1.1495926535897931,-0.006044435498854264,0.0007883890337058301,-0.003485386677816297,0.011615977061493993
1.0,11.0,4.0,78.0,14.0,0.0,0.01,0.0,0.0,0.0,1.584771,0.024300000000000016,-0.1813,2.8535,0.0197,0.2056,9.0,-0.2880926535897932,-0.3077926535897932,-0.028849192235683725,-0.00056840261940299,-0.03137369168958813,0.009297178448836589
1.0,11.0,5.0,79.0,14.0,0.0,0.01,0.0,0.0,0.0,1.622362,-0.06290000000000001,-0.3427,-2.8776,0.0277,0.2798,9.0,0.26399265358979296,0.23629265358979296,-0.054521475416851616,-0.0015106312528964656,-0.04298879502923599,-0.011619927770601942
1.0,11.0,6.0,80.0,14.0,0.0,0.01,0.0,0.0,0.0,1.990565,-0.1424,0.2143,-2.7234,-0.0594,0.0719,9.0,0.4181926535897933,0.4775926535897933,0.034046751276072776,-0.0020247589456310606,-0.010457112448934361,-0.004647208869058771
1.0,11.0,7.0,81.0,14.0,0.0,0.01,0.0,0.0,1.0,1.77423,0.27430000000000004,-0.0299,2.0989,-0.0019,0.3042,9.0,-1.0426926535897931,-1.0407926535897931,-0.004758724208937554,9.041586877026845e-6,-0.024396104452264512,0.041819085255674064
1.0,11.0,8.0,82.0,14.0,0.0,0.01,0.0,0.0,1.0,2.090724,-0.5018,0.7037,0.2187,-0.1267,0.2019,9.0,0.2187,0.34540000000000004,0.11109959492268758,-0.01415212735842045,0.0313679762101283,0.006971683596125417
1.0,11.0,9.0,83.0,14.0,0.0,0.01,0.0,0.0,1.0,1.986639,0.10540000000000002,-0.0341,3.0367,0.1633,0.1395,9.0,-0.10489265358979294,-0.26819265358979294,-0.005354981171197607,-0.0008823253617038306,-0.022080087470044356,0.0023245705644572867
1.0,12.0,1.0,84.0,18.0,0.7,0.01,0.0,1.0,0.0,1.459714,0.434,4.4314,-1.8427,4.4516,4.8654,9.0,4.4404853071795864,-0.011114692820413552,-0.1818512624148691,-0.6814315000141996,-0.20796447727778894,-0.7459038199951786
1.0,12.0,2.0,85.0,18.0,0.7,0.01,0.0,0.0,1.0,2.195857,-3.3541,4.2848,-1.8653,4.6716,0.9307,9.0,4.417885307179587,-0.25371469282041303,-0.027808214450795173,-0.681379887159799,-0.04299563916845571,-0.14174815837491864
1.0,12.0,3.0,86.0,18.0,0.7,0.01,0.0,0.0,1.0,1.968486,-0.2886,5.0199,-1.9155,4.4921,4.7314,9.0,4.3676853071795865,-0.12441469282041329,-0.17457809593694926,-0.7796349441375304,-0.2544607845130515,-0.7087294339939162
1.0,12.0,4.0,87.0,18.0,0.7,0.01,0.0,0.0,1.0,1.320613,-2.1816,4.6071,-1.5317,4.641,2.4255,9.0,4.751485307179586,0.11048530717958638,-0.05230100068260468,-0.7313750875061723,0.015088522783218195,-0.38573532398466975
1.0,12.0,5.0,88.0,18.0,0.7,0.01,0.0,0.0,1.0,1.235057,0.0062,4.1334,-1.7858,4.4608,4.1396,9.0,4.497385307179586,0.0365853071795863,-0.16376756261263328,-0.6371406270218047,-0.14056371514156685,-0.6436684642635873
1.0,12.0,6.0,89.0,18.0,0.7,0.01,0.0,0.0,0.0,0.900384,-0.4111,4.9105,-1.8016,4.5058,4.4994,9.0,4.481585307179586,-0.024214692820414108,-0.16030954553771296,-0.7649121090275326,-0.16381540748670756,-0.6971127813921418
1.0,12.0,7.0,90.0,18.0,0.7,0.01,0.0,0.0,1.0,1.372786,-0.2455,4.4103,-1.763,4.4947,4.1648,9.0,4.520185307179586,0.025485307179586414,-0.15159650228023216,-0.6853551303067213,-0.12661894649942346,-0.6506425943673602
1.0,12.0,8.0,91.0,18.0,0.7,0.01,0.0,0.0,1.0,0.833072,-0.3335,4.236,-1.6176,4.6944,3.9025,9.0,4.665585307179587,-0.028814692820413157,-0.012127162802975117,-0.6740712583487894,-0.029059250610992036,-0.6204220014139753
1.0,12.0,9.0,92.0,18.0,0.7,0.01,0.0,0.0,0.0,1.434437,-0.1538,4.1478,-1.6348,4.5804,3.994,9.0,4.648385307179586,0.06798530717958595,-0.08687881710774147,-0.6544010115008267,-0.0406571131466723,-0.6343632960747924
1.0,13.0,1.0,93.0,8.0,0.7,0.01,0.0,1.0,0.0,1.613968,-0.5002,4.6766,1.59,1.6596,4.1764,3.0,1.59,-0.06959999999999988,-0.06601008962364337,0.7413711099719394,-0.012763795341670157,0.6645721446851964
1.0,13.0,2.0,94.0,8.0,0.7,0.01,0.0,0.0,0.0,1.074827,-0.0007,4.866,1.6083,1.5882,4.8653,3.0,1.6083,0.020100000000000007,-0.013477558701036469,0.7743306706112438,-0.029033657506749622,0.7737920464010747
1.0,13.0,3.0,95.0,8.0,0.7,0.01,0.0,0.0,1.0,1.376769,0.1662,4.6652,1.6783,1.691,4.8314,3.0,1.6783,-0.012700000000000156,-0.08903520963928264,0.7371320083354056,-0.08250486941374331,0.7645021277673002
1.0,14.0,1.0,96.0,13.0,0.7,0.04,0.0,1.0,1.0,1.358088,0.2737,4.2863,2.8021,3.032,4.56,6.0,2.8021,-0.22990000000000022,-0.6780932178181039,0.07461298891513658,-0.684323640566567,0.24167994539896928
1.0,14.0,2.0,97.0,13.0,0.7,0.04,0.0,0.0,0.0,0.767502,0.1342,4.3231,2.8628,3.1526,4.4572,6.0,2.8628,-0.28980000000000006,-0.6880010526963395,-0.007573371787556608,-0.6819949028529324,0.19521940409820435
1.0,14.0,3.0,98.0,13.0,0.7,0.04,0.0,0.0,0.0,1.108083,-0.2937,4.9731,-3.1385,3.3785,4.6794,6.0,3.144685307179586,-0.23381469282041367,-0.769385816903344,-0.18576151961066031,-0.7447460791257661,-0.0023032489782437693
1.0,14.0,4.0,99.0,13.0,0.7,0.04,0.0,0.0,1.0,1.077284,0.4375,3.9646,2.7753,2.9187,4.4021,6.0,2.7753,-0.14339999999999975,-0.61537642946592,0.1394804206291068,-0.6541382105183119,0.25093016148691283
1.0,14.0,5.0,100.0,13.0,0.7,0.04,0.0,0.0,1.0,1.42179,-0.7015,4.8519,-2.9397,3.3997,4.1505,6.0,3.343485307179586,-0.056214692820414136,-0.7466244696118965,-0.19710584904938055,-0.6471555762075679,-0.13246059249487888
1.0,14.0,6.0,101.0,13.0,0.7,0.04,0.0,0.0,1.0,1.259131,-0.038,4.0929,-2.6707,3.534,4.0549,6.0,3.612485307179586,0.07848530717958635,-0.6018926919099002,-0.2491064205408624,-0.5751190452405268,-0.2927870046639401
1.0,15.0,1.0,102.0,23.0,0.0,0.01,0.0,1.0,0.0,1.127954,0.0272,0.0711,0.838,-0.1351,0.0982,6.0,0.838,0.9731,0.011212804320567305,-0.0015241340029055136,0.01045504199027235,0.01161715196244012
1.0,15.0,2.0,103.0,23.0,0.0,0.01,0.0,0.0,0.0,2.288949,0.1078,0.6017,0.0618,-0.0555,0.7095,6.0,0.0618,0.1173,0.09561607930728354,-0.005312147769635149,0.11270486562955935,0.006974041470055442
1.0,15.0,3.0,104.0,23.0,0.0,0.01,0.0,0.0,0.0,1.062792,0.6182,-0.1833,-2.7882,0.0981,0.8015,6.0,0.3533926535897933,0.2552926535897933,-0.029032838335456702,-0.0028572931516405754,-0.11967981996018741,-0.044147251108334847
1.0,15.0,4.0,105.0,23.0,0.0,0.01,0.0,0.0,1.0,0.98801,0.591,0.0794,2.2404,-0.0172,0.6704,6.0,-0.901192653589793,-0.883992653589793,0.01263503327696423,-0.0002173440058034052,-0.06622448538951488,0.08365804480509155
1.0,15.0,5.0,106.0,23.0,0.0,0.01,0.0,0.0,0.0,1.448034,1.4298,0.1733,1.1234,0.0524,1.6032,6.0,1.1234,1.071,0.02754369414070239,0.0014446120010124326,0.11038600593033074,0.23004375418211132
